001|102|11|30|
001|112|51|50|
001|112|52|50|
001|112|53|50|
001|112|54|40|
001|112|55|50|
001|112|56|50|
001|116|11|30|
001|118|11|00|
001|119|11|30|
001|120|11|40|
001|121|11|60|
001|122|81|56|
001|122|82|55|
001|122|83|44|
001|122|84|55|
001|122|85|55|
001|122|86|55|
001|122|87|55|
001|122|88|55|
001|123|61|60|
001|123|62|60|
001|123|63|50|
001|123|64|50|
001|123|65|60|
001|123|66|40|
001|124|61|60|
001|124|62|60|
001|124|63|60|
001|124|64|60|
001|124|65|45|
001|124|66|40|
001|125|61|50|
001|125|62|50|
001|125|63|50|
001|125|64|50|
001|125|65|50|
001|125|66|40|
001|125|67|50|
001|131|71|54|
001|131|72|52|
001|131|73|61|
001|131|74|50|
001|131|75|60|
001|131|76|60|
001|136|11|30|
001|141|31|41|
001|141|32|35|
001|141|33|40|
001|145|11|40|
001|148|11|30|
001|149|11|15|
001|150|11|44|
001|151|61|60|
001|151|62|40|
001|151|63|60|
001|151|64|60|
001|151|65|60|
001|151|66|40|
001|152|11|55|
001|153|21|40|
001|153|22|40|
001|155|11|40|
001|159|11|30|
001|169|21|15|
001|169|22|15|
001|171|11|30|
001|172|11|30|
001|178|11|30|
001|181|11|40|
001|184|21|15|
001|184|22|15|
001|185|11|30|
001|187|11|30|
001|188|11|30|
